text,IsHAB_AIDE_SOC
"This establishment is a EHPAD located in ST RAMBERT EN BUGEY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 81 places. It offers complete accommodation, temporary accommodation, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1690.2 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 9 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BOURG EN BRESSE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 177 places. It offers complete accommodation, day care, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1623.3 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in CHAMPAGNE EN VALROMEY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 131 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1960.5 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in CURTAFOND, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 30 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 3124.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BOURG EN BRESSE, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 104 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 3034.5 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in AMBERIEU EN BUGEY, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 60 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 3154.8 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in PONT D AIN, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1976.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in TENAY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 65 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1807.5 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in CHATILLON SUR CHALARONNE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 210 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1965.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in MONTMERLE SUR SAONE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 65 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1763.4 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 6 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in MEXIMIEUX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1762.8 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ST LAURENT SUR SAONE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 127 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1990.5 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 11 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in JASSANS RIOTTIER, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 94 places. It offers complete accommodation, temporary accommodation, day care, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 2110.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 6 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ROMANS, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 61 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 2503.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in CORBONOD, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 84 places. It offers complete accommodation. It has APL housing support. Its minimum price is 2006.1 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ORNEX, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 70 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 2207.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in PERONNAS, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation, temporary accommodation, day care, an Alzheimer specialized unit, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1962.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BELLEY, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 70 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 2852.1 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in NANTUA, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 152 places. It offers complete accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1904.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ST MAURICE DE BEYNOST, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 48 places. It offers complete accommodation. It has APL housing support. Its minimum price is 2090.1 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in NEUVILLE LES DAMES, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 30 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 2181.0 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in BELIGNEUX, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 2773.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in CEYZERIAT, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation. It has APL housing support. Its minimum price is 1829.7 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ST TRIVIER SUR MOIGNANS, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 88 places. It offers complete accommodation, temporary accommodation, day care, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1833.3 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 9 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in MONTLUEL, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 108 places. It offers complete accommodation, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1884.6 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in OYONNAX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 103 places. It offers complete accommodation. It has APL housing support. Its minimum price is 1904.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in JASSERON, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 106 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 1895.7 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in LHUIS, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 66 places. It offers complete accommodation, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1635.6 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BOURG EN BRESSE, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 95 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 3023.1 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in CERDON, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 53 places. It offers complete accommodation, an Alzheimer specialized unit, an adapted care and activity center. It has APL housing support. Its minimum price is 1859.7 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in TALISSIEU, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 46 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 2859.0 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in MIRIBEL, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 95 places. It offers complete accommodation. It has APL housing support. Its minimum price is 2216.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in AMBERIEU EN BUGEY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 84 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 1827.3 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in COLIGNY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 81 places. It offers complete accommodation, temporary accommodation. It does not have APL housing support. Its minimum price is 1785.6 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 11 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in DIVONNE LES BAINS, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 83 places. It offers complete accommodation, temporary accommodation, day care, an adapted care and activity center. It has APL housing support. Its minimum price is 2093.1 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BOURG EN BRESSE, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 90 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 2484.6 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in PERONNAS, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 82 places. It offers complete accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1942.8 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BELLEGARDE SUR VALSERINE, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 82 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 2059.8 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in CONFORT, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 85 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 1809.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ST BERNARD, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 2910.3 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in HAUTEVILLE LOMPNES, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 64 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 2515.5 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 4 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in ARBENT, AIN. Its legal status is Privé commercial. It is classified as: EHPAD. It has a capacity of 46 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 1985.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a EHPAD located in MONTREVEL EN BRESSE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 166 places. It offers complete accommodation, temporary accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1735.5 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in ST TRIVIER DE COURTES, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 91 places. It offers complete accommodation, an adapted care and activity center. It does not have APL housing support. Its minimum price is 1754.4 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in VILLARS LES DOMBES, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 84 places. It offers complete accommodation, temporary accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1722.3 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 9 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in CHALAMONT, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 80 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 1915.8 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in HAUTEVILLE LOMPNES, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 69 places. It offers complete accommodation. It has APL housing support. Its minimum price is 1557.3 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 11 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in MEXIMIEUX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 44 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1762.8 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in PONT DE VAUX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 172 places. It offers complete accommodation, an adapted care and activity center. It has APL housing support. Its minimum price is 1753.8 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in GEX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 170 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 1899.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 9 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in GROISSIAT, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 77 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit, an adapted care and activity center. It does not have APL housing support. Its minimum price is 2177.4 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is much higher than the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a Résidence autonomie located in MONTMERLE SUR SAONE, AIN. Its legal status is Public. It is classified as: residence autonomy. It has a capacity of 22 places. It offers complete accommodation. It does not have APL housing support. It offers F2 housing. Its minimum price is 540.57 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is much lower than the department median. It has 0 EHPAD price fields filled. It has 2 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in TREFFORT CUISIAT, AIN. Its legal status is Public. It is classified as: residence autonomy. It has a capacity of 33 places. It offers complete accommodation. It has APL housing support. It offers F1 housing, F2 housing. Its minimum price is 417.62 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is much lower than the department median. It has 0 EHPAD price fields filled. It has 2 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in HAUTEVILLE LOMPNES, AIN. Its legal status is Public. It is classified as: residence autonomy. It has a capacity of 22 places. It offers complete accommodation. It has APL housing support. It offers F1 housing, F1Bis housing, F2 housing. Its minimum price is 467.02 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is much lower than the department median. It has 0 EHPAD price fields filled. It has 3 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in ST TRIVIER DE COURTES, AIN. Its legal status is Public. It is classified as: residence autonomy. It has a capacity of 38 places. It offers complete accommodation. It has APL housing support. It offers F1 housing, F1Bis housing, F2 housing. Its minimum price is 380.19 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is much lower than the department median. It has 0 EHPAD price fields filled. It has 3 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in PONCIN, AIN. Its legal status is Privé commercial. It is classified as: residence autonomy. It has a capacity of 40 places. It offers complete accommodation. It does not have APL housing support. It offers F1Bis housing, F2 housing. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in MIRIBEL, AIN. Its legal status is Privé non lucratif. It is classified as: residence autonomy. It has a capacity of 102 places. It offers complete accommodation. It has APL housing support. It offers F1 housing. Its minimum price is 696.5 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is much lower than the department median. It has 0 EHPAD price fields filled. It has 3 residence autonomy price fields filled.",0
"This establishment is a Résidence autonomie located in OYONNAX, AIN. Its legal status is Privé commercial. It is classified as: residence autonomy. It has a capacity of 50 places. It offers complete accommodation. It has APL housing support. It offers F1 housing. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
